Local Time,City,Country Code,Timezone,PM25,AQI,SO2,NO2,CO,O3,PM10,Temperature,Humidity,WindSpeed,Pressure,Precipitation,Clouds,UV Index
2013-01-01 00:00:00,Beijing,CN,Asia/Shanghai,73.1,94.8,52.5,69.9,1579.1,59.2,131.5,-1.3,71.7,3.2228889454239744,1007.0023307169982,0.0,66,0.0
2013-01-01 01:00:00,Beijing,CN,Asia/Shanghai,102.0,153.4,53.7,36.9,1418.9,32.5,183.5,7.0,56.1,1.9766361330026143,999.4303027729553,5.731367592825332,91,0.0
2013-01-01 02:00:00,Beijing,CN,Asia/Shanghai,103.5,159.1,53.0,51.4,1276.3,65.7,186.3,1.9,23.2,2.730879227283868,1043.5872114778108,0.0,72,0.0
2013-01-01 03:00:00,Beijing,CN,Asia/Shanghai,99.4,142.5,48.4,58.5,1568.7,15.0,178.9,-0.4,27.0,3.463318937415421,1022.5681825243795,0.0,37,0.0
2013-01-01 04:00:00,Beijing,CN,Asia/Shanghai,124.0,192.6,49.4,47.7,1709.8,43.1,223.2,-0.5,48.2,1.483610699947297,1011.9345655411869,0.0,0,0.0
2013-01-01 05:00:00,Beijing,CN,Asia/Shanghai,115.6,181.6,48.2,75.9,1903.4,24.5,208.0,2.4,39.6,6.34498289397449,1008.9652826304911,0.0,13,0.0
2013-01-01 06:00:00,Beijing,CN,Asia/Shanghai,102.0,141.8,55.5,85.2,1639.2,36.2,183.6,-2.1,76.6,0.018607946772905004,1018.7134292051835,17.406518810965757,16,0.0
2013-01-01 07:00:00,Beijing,CN,Asia/Shanghai,111.1,171.5,51.2,58.6,1577.1,44.3,200.0,3.8,40.4,9.261146128079842,1002.4662465533406,0.0,97,0.0
2013-01-01 08:00:00,Beijing,CN,Asia/Shanghai,110.0,189.1,50.5,66.5,1305.2,48.9,198.1,1.8,57.6,11.983138442855111,1015.3587824835582,0.0,5,0.0
2013-01-01 09:00:00,Beijing,CN,Asia/Shanghai,143.5,211.2,50.9,67.0,1534.5,13.5,258.2,-0.7,65.7,8.210481115117261,1020.644054523509,0.0,94,0.0
2013-01-01 10:00:00,Beijing,CN,Asia/Shanghai,109.1,170.3,45.9,33.1,1739.2,53.5,196.5,0.8,56.7,10.509720488665836,1014.7369357766897,0.0,76,0.0
2013-01-01 11:00:00,Beijing,CN,Asia/Shanghai,61.7,100.1,44.2,70.7,1615.9,43.4,111.0,-0.8,48.2,4.824674608880645,1028.247024684163,0.0,38,0.0
2013-01-01 12:00:00,Beijing,CN,Asia/Shanghai,110.4,170.0,55.5,50.0,1591.9,58.8,198.8,1.8,20.7,12.071747455843402,999.7306090907693,0.0,15,0.0
2013-01-01 13:00:00,Beijing,CN,Asia/Shanghai,107.4,160.7,56.7,54.0,1567.3,30.4,193.3,3.2,86.6,12.348610051255696,1000.5720649232272,6.987272826276687,5,0.0
2013-01-01 14:00:00,Beijing,CN,Asia/Shanghai,106.7,161.4,40.9,53.9,1346.0,20.9,192.0,-0.5,24.4,11.473901414405939,1018.9196258994649,0.0,28,0.0
2013-01-01 15:00:00,Beijing,CN,Asia/Shanghai,99.4,140.2,51.3,36.9,1736.4,44.9,179.0,-4.3,22.7,1.4837564061640574,1001.3465393402021,0.0,57,0.0
2013-01-01 16:00:00,Beijing,CN,Asia/Shanghai,130.1,202.6,57.6,54.5,1561.7,65.5,234.2,1.9,70.5,0.7372790777038885,1004.9439715044931,0.9193092682252213,48,0.0
